Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Dresden	County-level City	0	0	13	75	218	355	435	458	476
Erzgebirgskreis	County	0	0	0	32	83	268	366	451	471
G?rlitz	County	0	0	7	22	58	102	216	238	242
Leipzig	County	0	0	9	27	69	115	169	179	181
Leipzig Stadt	County-level City	0	0	16	109	242	367	458	511	528
Mei†en	County	0	0	5	19	54	112	160	187	201
Mittelsachsen	County	0	0	0	24	70	141	201	233	237
Nordsachsen	County	0	0	2	10	23	58	93	114	120
S?chsische Schweiz-Osterzgebirge	County	0	1	8	37	118	215	286	314	320
Vogtlandkreis	County	0	0	0	15	87	134	204	275	285
Zwickau	County	0	0	1	110	265	444	579	686	707
Sachsen-Anhalt [Saxony-Anhalt]	State	0	0	35	192	508	855	1,133	1,284	1,395
Altmarkkreis Salzwedel	County	0	0	1	3	10	17	27	30	30
Anhalt-Bitterfeld	County	0	0	2	8	27	39	49	54	62
B?rde	County	0	0	3	25	46	61	82	98	105
Burgenlandkreis	County	0	0	1	14	25	39	56	65	69
Dessau-Ro†lau	County-level City	0	0	0	5	16	23	47	56	59
Halle (Saale)	County-level City	0	0	9	43	101	193	242	272	281
Harz	County	0	0	2	14	35	68	126	162	217
Jerichower Land	County	0	0	0	3	16	20	28	30	32
Magdeburg	County-level City	0	0	6	29	66	87	91	97	102
Mansfeld-SÅdharz	County	0	0	1	6	14	26	32	34	35
Saalekreis	County	0	0	1	12	45	77	94	100	106
Salzlandkreis	County	0	0	7	13	37	45	59	60	62
Stendal	County	0	0	0	7	25	62	70	80	85
Wittenberg	County	0	0	2	10	45	98	130	146	150
Schleswig-Holstein	State	0	6	56	317	856	1,501	2,06	2,36	2,496
Dithmarschen	County	0	1	1	12	21	34	51	54	54
Flensburg	County-level City	0	0	0	10	19	26	32	33	33
Herzogtum Lauenburg	County	0	1	6	24	71	136	184	224	237
Kiel	County-level City	0	0	11	34	75	146	186	216	240
LÅbeck	County-level City	0	1	8	20	72	97	128	151	155
NeumÅnster	County-level City	0	0	0	5	13	29	41	46	60
Nordfriesland	County	0	0	1	12	27	46	61	68	70
Ostholstein	County	0	0	1	11	23	47	55	59	59
Pinneberg	County	0	1	11	66	167	288	460	487	501
Pl?n	County	0	0	2	11	45	69	93	104	105
Rendsburg-Eckernf?rde	County	0	0	5	28	95	149	189	208	220
Schleswig-Flensburg	County	0	0	3	22	46	91	107	115	122
Segeberg	County	0	1	4	22	55	119	179	202	208
Steinburg	County	0	0	0	7	28	52	71	76	79
Stormarn	County	0	1	3	33	99	172	223	317	353
ThÅringen [Thuringia]	State	0	1	23	191	610	1,028	1,424	1,696	1,872
Altenburger Land	County	0	0	0	4	16	29	33	40	44
Eichsfeld	County	0	0	0	4	40	64	85	104	108
Eisenach	County-level City	0	0	1	1	4	7	12	13	14
Erfurt	County-level City	0	0	2	26	67	89	108	120	125
